Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
BFA,2018,-7.92639,10.9081,0.895204,0.268561,2.96564,0.398108,0.94,40.45335,33.42215,36.38782499999999,0.24
BFA,2019,-8.06875,11.1928,0.895204,0.268561,3.04566,0.3333,1.0,40.780575,33.607,36.652675,0.24
BFA,2020,-8.93596,12.9273,0.895204,0.268561,2.80232,0.3333,0.85,88.9112,80.87057499999999,83.672725,0.24
BFA,mean,-8.93596,12.9273,0.895204,0.268561,2.85241,0.356322,1.08,65.467445,57.426655,60.278932499999996,0.24
BGD,2015,-13.2822,12.4884,15.5987,4.67962,76.3389,8.41768,-0.22,-11.963442500000001,-9.646894999999999,66.69205,0.2775
BGD,2016,-12.9438,13.1651,15.5987,4.67962,80.9401,8.87726,-0.3,-22.4244475,-19.7695175,61.170525,0.2775
BGD,2017,-13.8004,11.452,15.5987,4.67962,83.09,9.16019,-0.43,-23.7762,-21.97785,61.11215,0.2775
BGD,2018,-12.7227,13.6074,15.5987,4.67962,88.6117,9.16019,-0.71,-29.981099999999998,-27.105075,61.506625,0.2775
BGD,2019,-12.9394,13.1741,15.5987,4.67962,105.405,8.41768,-0.72,-22.402592475000002,-19.7432175,85.661475,0.2775
BGD,2020,-13.1377,12.7774,15.5987,4.67962,98.09,8.41768,-0.64,-15.075097499999998,-12.614044999999999,85.476,0.2775
BGD,mean,-13.1377,12.7774,15.5987,4.67962,88.7459,8.74178,-0.45,-16.083777500000004,-13.622752499999999,75.12315,0.2775
BGR,2015,-3.96724,3.71623,-13.0254,-3.90762,49.8181,3.31189,-1.37,-47.52615,-64.5188,-14.70075,0.29
BGR,2016,-3.32348,2.42871,-13.0254,-3.90762,47.1938,3.09944,-0.14,-35.784675,-52.13355,-4.93975,0.29
BGR,2017,-3.21622,2.21419,-13.0254,-3.90762,49.6834,3.28612,-1.26,-27.2682575,-43.509865000000005,6.1735549999999995,0.29
BGR,2018,-2.7558,1.29335,-13.0254,-3.90762,46.2564,3.28612,0.67,-24.614200000000004,-40.395425,5.8609824999999995,0.29
BGR,2019,-3.33858,2.45891,-13.0254,-3.90762,44.3757,3.31189,0.55,-27.756325,-44.1203,0.25535749999999924,0.29
BGR,2020,-3.32026,2.42228,-13.0254,-3.90762,40.9788,3.31189,-0.98,-34.1694275,-50.515100000000004,-9.536275,0.29
BGR,mean,-3.32026,2.42228,-13.0254,-3.90762,46.3844,3.26789,-0.73,-33.5702775,-49.915975,-3.5315775,0.29
BHS,2015,-0.229746,0.110836,0.151105,0.0453314,6.71402,0.206276,-0.56,7.4516975,7.373065,14.0870675,0.0225
BHS,2016,-0.403072,0.457489,0.151105,0.0453314,6.82442,0.181463,0.29,4.2754125,4.0234375,10.847855,0.0225
BHS,2017,-0.400396,0.452137,0.151105,0.0453314,6.98041,0.199239,-0.08,5.8542950000000005,5.6050025,12.585425,0.0225
BHS,2018,-0.326079,0.303503,0.151105,0.0453314,7.06694,0.199239,0.16,5.0876545,4.91267325,11.979647499999999,0.0225
BHS,2019,-0.253164,0.157671,0.151105,0.0453314,7.14248,0.206276,0.02,3.616145,3.5140874999999996,10.656575,0.0225
BHS,2020,-0.322492,0.296327,0.151105,0.0453314,4.73858,0.206276,0.05,9.3532175,9.18183,13.920415,0.0225
BHS,mean,-0.322492,0.296327,0.151105,0.0453314,6.57781,0.199795,-0.1,5.567905,5.3965125,11.9743125,0.0225
BIH,2015,-2.68173,0.568925,1.69494,0.508483,13.6192,1.36752,-1.08,-18.64745,-19.6342225,-6.0150325,0.37
BIH,2016,-2.4791,0.974184,1.69494,0.508483,14.2459,1.61009,-0.43,-21.005000000000003,-21.789175,-7.5432075,0.37
BIH,2017,-2.3437,1.245,1.69494,0.508483,14.4826,1.61633,-0.73,-14.47655,-15.125337499999999,-0.6427565000000001,0.37
BIH,2018,-2.45781,1.01676,1.69494,0.508483,15.1545,1.61633,0.38,-7.7391675,-8.5020275,6.652495,0.37
BIH,2019,-2.43191,1.06858,1.69494,0.508483,16.2665,1.36752,0.73,-9.10047225,-9.837405,6.4290275,0.37
BIH,2020,-2.47885,0.974688,1.69494,0.508483,15.08,1.36752,-2.37,-17.505029999999998,-18.288932499999998,-3.20894,0.37
BIH,mean,-2.47885,0.974688,1.69494,0.508483,14.8081,1.49089,-1.14,-14.08095,-14.864852499999998,-0.05673750000000011,0.37
BLR,2015,-2.94694,1.02361,1.28111,0.384334,54.1652,4.28652,-0.5,-73.347375,-75.013275,-20.847974999999998,0.355
BLR,2016,-2.9873,1.10432,1.28111,0.384334,54.563,4.28788,-1.72,-77.69647499999999,-79.402625,-24.83954,0.355
BLR,2017,-2.89581,0.921346,1.28111,0.384334,55.2209,4.36277,-0.56,-122.7268,-124.341725,-69.12065,0.355
BLR,2018,-3.10184,1.3334,1.28111,0.384334,58.4826,4.36277,-1.27,-88.3117,-90.1325,-31.64985,0.355
BLR,2019,-2.73186,0.593451,1.28111,0.384334,58.5032,4.28652,-0.96,-153.65175,-155.10225,-96.599125,0.355
BLR,2020,-2.93275,0.995225,1.28111,0.384334,54.1747,4.28652,-1.05,-92.66550000000001,-94.3173,-40.142425,0.355
BLR,mean,-2.93275,0.995225,1.28111,0.384334,55.8516,4.31217,-1.84,-102.43527499999999,-104.086675,-48.235102499999996,0.355
BLZ,2015,-2.51856,5.03711,-0.219514,-0.0658543,0.890774,0.0648083,0.53,17.294925,14.556875,15.447625,0.1225
BLZ,2016,-2.51856,5.03711,-0.219514,-0.0658543,0.889887,0.0614753,1.1,9.94933,7.211240500000001,8.10113475,0.1225
BLZ,2017,-2.51856,5.03711,-0.219514,-0.0658543,0.893533,0.062216,1.04,19.4942,16.7561,17.6496575,0.1225
BLZ,2018,-2.51856,5.03712,-0.219514,-0.0658543,0.91063,0.062216,0.81,18.2814,15.543300000000002,16.45395,0.1225
BLZ,2019,-2.51856,5.03711,-0.219514,-0.0658543,0.930723,0.0648083,0.94,21.821424999999998,19.083350000000003,20.0141,0.1225
BLZ,2020,-2.51856,5.03711,-0.219514,-0.0658543,0.797919,0.0648083,1.49,22.60655,19.868474999999997,20.666375000000002,0.1225
BLZ,mean,-2.51856,5.03711,-0.219514,-0.0658543,0.885578,0.0633887,0.96,22.1586,19.4205,20.3061,0.1225
BOL,2015,-57.239,9.04441,-4.78121,-1.43436,22.0267,1.95462,-1.52,-261.449025,-323.46947500000005,-301.4427575,0.5375
