

year,riverEmissions,River unc (TgCO2),woodCropEmissions,Wood+Crop unc (TgCO2),fossilFuelEmissions,FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),netBiosphereEmissions,netCarbonEmissions,Mean FUR,isoa2,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon
2017,0.37021147237959556,-0.4229229364048803,0.06705324996141755,0.06705334112023474,-0.3683238944634397,-0.43389418343745634,-0.23001066271264606,0.03990453637691398,0.11952918475138304,-0.36438899708935696,-1.460832688990491,BS,-0.39496622474538523,-0.3922494374355347,-0.3724473436623958,-0.4707880311904349,-0.37263215843981407,-0.3107099755501766
2018,0.37091931385490595,-0.4276199723674569,0.06705324996141755,0.06705334112023474,-0.3682250693445039,-0.43389418343745634,0.03958323032729258,0.03837405521840003,0.11818812718219039,-0.3652354136853564,-1.460832688990491,BS,-0.39462225828484854,-0.39184069088501405,-0.37182948347446027,-0.4692920033508743,-0.3726711501308744,-0.31070505072913035
2019,0.37161380180749093,-0.43222846133024106,0.06705324996141755,0.06705334112023474,-0.36813879580371556,-0.43369386426705586,-0.11767987394600497,0.035436410306183316,0.11547903464247397,-0.3670840635967686,-1.460832688990491,BS,-0.3947087713372907,-0.39158941217982773,-0.37087457464834356,-0.4687001591426951,-0.37260106852231145,-0.3107311993869078
2020,0.37095347868088036,-0.42784674369883097,0.06705324996141755,0.06705334112023474,-0.37088426793372725,-0.43369386426705586,-0.08398063731601264,0.046889602990731694,0.12645758130919338,-0.3625236955694205,-1.460832688990491,BS,-0.3948512004672745,-0.39252115340405214,-0.36995680795608804,-0.46881768153490405,-0.3724906142354335,-0.3112259859360628
2015,0.3484826240106388,-0.4192322772286663,0.10337533385184151,0.10337554053876756,-0.360741793326953,-0.400637244299376,-1.3533185503790572,-0.009009471001007437,0.07064022949374192,-0.3903783016131837,0.35248041860767937,BA,-0.33709820445439065,-0.31285937657318647,-0.30860619803560607,-0.3758189307113477,-0.36786253184684586,-0.2784137959193671
2016,0.35041259855404266,-0.40642554325691144,0.10337533385184151,0.10337554053876756,-0.36002604500802193,-0.39373211126483715,-0.62316842339589,-0.013715961011976812,0.06646603728479565,-0.39251352895588204,0.35248041860767937,BA,-0.3296155333593775,-0.31576589506537106,-0.30353012478531816,-0.3670391644300804,-0.3648131538246789,-0.2760682328374503
2017,0.35170223263180456,-0.3978673904033171,0.10337533385184151,0.10337554053876756,-0.35975571211015855,-0.3935544799413614,-0.9601607896958132,-0.0006829035107094022,0.07937404271609123,-0.3828719423233627,0.35248041860767937,BA,-0.33596031705261403,-0.3114024187027186,-0.31209513912970555,-0.37673066110817516,-0.36849264645705515,-0.2731474376320508
2018,0.35061537779714125,-0.4050800839195952,0.10337533385184151,0.10337554053876756,-0.35898834128601664,-0.3935544799413614,0.286710965613903,0.012767255949887328,0.0922035454542889,-0.3726787246129164,0.35248041860767937,BA,-0.330692751823974,-0.3151205454643197,-0.30228248730800567,-0.37172273650935184,-0.3641524649733549,-0.2747468452034461
2019,0.3508620655564768,-0.40344250164649,0.10337533385184151,0.10337554053876756,-0.3577183362905621,-0.400637244299376,0.6798687262971469,0.010049618059806462,0.08961688873842062,-0.3729909623580728,0.35248041860767937,BA,-0.33105209445837913,-0.3093545171512513,-0.296550997962291,-0.35178246670366414,-0.3649961345964657,-0.2747883303297386
2020,0.35041497971002084,-0.40640961617343696,0.10337533385184151,0.10337554053876756,-0.3590734270523488,-0.400637244299376,-2.8023857254687274,-0.006728803223725246,0.07324608694849943,-0.3864575167343963,0.35248041860767937,BA,-0.327977062252049,-0.3146736936078792,-0.30199588514226877,-0.3568397555067709,-0.36295859730697955,-0.27764755605334734
