Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,Experiment,LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),FUR LNLG,LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),FUR LNLGIS,LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),FUR LNLGOGIS
ALB,2015,-2.46186,7.61818,-3.57087,7.61818,0.110653,7.61078,-2.22772,1.36653,1.11871,0.335614,3.68152,0.335639,-0.58,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,2015,,,,,,,-2.22772,1.36653,1.11871,0.335614,3.68152,0.335639,-0.58,,LNLG,-7.97734,8.88803,-9.08635,8.88803,-5.40483,8.88169,0.1,,,,,,,,,,,,,,
ALB,2015,,,,,,,-2.22772,1.36653,1.11871,0.335614,3.68152,0.335639,-0.58,,LNLGIS,,,,,,,,-11.6444,6.642,-12.7534,6.642,-9.07187,6.63352,0.05,,,,,,,
ALB,2015,,,,,,,-2.22772,1.36653,1.11871,0.335614,3.68152,0.335639,-0.58,,LNLGOGIS,,,,,,,,,,,,,,,-7.6966,6.88249,-8.8056,6.88249,-5.12408,6.8743,0.12
ALB,2016,-3.59018,5.51036,-4.49624,5.51036,-0.652556,5.5003,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,2016,,,,,,,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,,LNLG,-9.95989,8.00242,-10.866,8.00242,-7.02227,7.99549,0.1,,,,,,,,,,,,,,
ALB,2016,,,,,,,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,,LNLGIS,,,,,,,,-7.94527,12.1443,-8.85134,12.1443,-5.00765,12.1397,0.05,,,,,,,
ALB,2016,,,,,,,-2.02478,1.77241,1.11871,0.335614,3.84369,0.332926,-1.05,,LNLGOGIS,,,,,,,,,,,,,,,-6.01304,5.54704,-6.91911,5.54704,-3.07542,5.53704,0.12
ALB,2017,-1.10061,7.45167,-1.99429,7.45167,1.93718,7.44091,-2.01239,1.79718,1.11871,0.335614,3.93147,0.400217,-0.63,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,2017,,,,,,,-2.01239,1.79718,1.11871,0.335614,3.93147,0.400217,-0.63,,LNLG,-9.03908,3.93254,-9.93276,3.93254,-6.00129,3.91212,0.1,,,,,,,,,,,,,,
ALB,2017,,,,,,,-2.01239,1.79718,1.11871,0.335614,3.93147,0.400217,-0.63,,LNLGIS,,,,,,,,-6.68925,10.007,-7.58293,10.007,-3.65146,9.99903,0.05,,,,,,,
ALB,2017,,,,,,,-2.01239,1.79718,1.11871,0.335614,3.93147,0.400217,-0.63,,LNLGOGIS,,,,,,,,,,,,,,,-4.15836,6.69426,-5.05204,6.69426,-1.12056,6.68229,0.12
ALB,2018,-8.26333,6.20027,-8.99772,6.20027,-4.90251,6.18734,-1.85311,2.11575,1.11871,0.335614,4.09521,0.400217,0.37,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,2018,,,,,,,-1.85311,2.11575,1.11871,0.335614,4.09521,0.400217,0.37,,LNLG,-5.20331,9.70583,-5.9377,9.70583,-1.84249,9.69758,0.1,,,,,,,,,,,,,,
ALB,2018,,,,,,,-1.85311,2.11575,1.11871,0.335614,4.09521,0.400217,0.37,,LNLGIS,,,,,,,,-8.49532,8.00382,-9.22971,8.00382,-5.1345,7.99381,0.05,,,,,,,
ALB,2018,,,,,,,-1.85311,2.11575,1.11871,0.335614,4.09521,0.400217,0.37,,LNLGOGIS,,,,,,,,,,,,,,,-2.87851,4.89171,-3.61291,4.89171,0.4823,4.87531,0.12
ALB,2019,-2.02351,5.1562,-2.95613,5.1562,1.40777,5.14527,-2.05133,1.71931,1.11871,0.335614,4.3639,0.335639,-0.22,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,2019,,,,,,,-2.05133,1.71931,1.11871,0.335614,4.3639,0.335639,-0.22,,LNLG,-3.4719,9.10326,-4.40452,9.10326,-0.0406168,9.09707,0.1,,,,,,,,,,,,,,
ALB,2019,,,,,,,-2.05133,1.71931,1.11871,0.335614,4.3639,0.335639,-0.22,,LNLGIS,,,,,,,,-6.71667,10.9141,-7.64928,10.9141,-3.28538,10.909,0.05,,,,,,,
ALB,2019,,,,,,,-2.05133,1.71931,1.11871,0.335614,4.3639,0.335639,-0.22,,LNLGOGIS,,,,,,,,,,,,,,,-6.79368,4.74763,-7.7263,4.74763,-3.3624,4.73575,0.12
ALB,2020,-1.27082,8.05646,-2.18597,8.05646,1.72523,8.04947,-2.03387,1.75424,1.11871,0.335614,3.9112,0.335639,-1.87,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,2020,,,,,,,-2.03387,1.75424,1.11871,0.335614,3.9112,0.335639,-1.87,,LNLG,-15.9378,6.13899,-16.853,6.13899,-12.9418,6.1298,0.1,,,,,,,,,,,,,,
ALB,2020,,,,,,,-2.03387,1.75424,1.11871,0.335614,3.9112,0.335639,-1.87,,LNLGIS,,,,,,,,-9.84273,9.98725,-10.7579,9.98725,-6.84668,9.98161,0.05,,,,,,,
ALB,2020,,,,,,,-2.03387,1.75424,1.11871,0.335614,3.9112,0.335639,-1.87,,LNLGOGIS,,,,,,,,,,,,,,,-5.02293,7.87883,-5.93808,7.87883,-2.02688,7.87167,0.12
ALB,mean,-2.51789,5.49232,-3.43304,5.1938,0.538121,5.18154,-2.03387,1.75424,1.11871,0.335614,3.97116,0.356713,-1.03,0.04,IS,,,,,,,,,,,,,,,,,,,,,
ALB,mean,,,,,,,-2.03387,1.75424,1.11871,0.335614,3.97116,0.356713,-1.03,,LNLG,-9.1088,6.47683,-10.024,6.2257,-6.05279,6.21547,0.1,,,,,,,,,,,,,,
ALB,mean,,,,,,,-2.03387,1.75424,1.11871,0.335614,3.97116,0.356713,-1.03,,LNLGIS,,,,,,,,-9.66311,5.81607,-10.5783,5.53504,-6.60709,5.52353,0.05,,,,,,,
ALB,mean,,,,,,,-2.03387,1.75424,1.11871,0.335614,3.97116,0.356713,-1.03,,LNLGOGIS,,,,,,,,,,,,,,,-5.68058,4.6128,-6.59574,4.253,-2.62457,4.23801,0.12
ARE,2015,-11.2954,11.326,0.48009,11.326,248.225,0.934979,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,2015,,,,,,,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,,LNLG,-11.383,11.2965,0.392422,11.2965,248.137,0.455294,-0.06,,,,,,,,,,,,,,
ARE,2015,,,,,,,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,,LNLGIS,,,,,,,,-11.3546,11.3096,0.420864,11.3096,248.166,0.709842,0.02,,,,,,,
ARE,2015,,,,,,,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,,LNLGOGIS,,,,,,,,,,,,,,,-11.5529,11.3044,0.222525,11.3044,247.967,0.620807,-0.02
ARE,2016,-11.6767,10.8138,0.0914779,10.8138,238.763,0.553968,-0.0533312,0.00379531,11.8215,3.54645,238.672,10.7996,-0.33,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,2016,,,,,,,-0.0533312,0.00379531,11.8215,3.54645,238.672,10.7996,-0.33,,LNLG,-11.7785,10.9615,-0.0103695,10.9615,238.662,1.87667,-0.06,,,,,,,,,,,,,,
ARE,2016,,,,,,,-0.0533312,0.00379531,11.8215,3.54645,238.672,10.7996,-0.33,,LNLGIS,,,,,,,,-11.7612,10.8212,0.00698584,10.8212,238.679,0.682908,0.02,,,,,,,
ARE,2016,,,,,,,-0.0533312,0.00379531,11.8215,3.54645,238.672,10.7996,-0.33,,LNLGOGIS,,,,,,,,,,,,,,,-11.7582,10.8183,0.00995774,10.8183,238.682,0.635042,-0.02
ARE,2017,-11.6431,8.84961,0.106625,8.84961,196.628,0.352299,-0.0717651,0.0330726,11.8215,3.54645,196.521,8.8426,0.85,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,2017,,,,,,,-0.0717651,0.0330726,11.8215,3.54645,196.521,8.8426,0.85,,LNLG,-10.9376,8.94349,0.812174,8.94349,197.333,1.33958,-0.06,,,,,,,,,,,,,,
